Team,Opponent,Date,ORtg,DRtg,NRtg,Pace,eFG%,TS%,TOV%,ORB%,FT/FGA,3PAr,Win
Atlanta Hawks,Charlotte Hornets,10/25/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,New York Knicks,10/27/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Milwaukee Bucks,10/29/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Minnesota Timberwolves,10/30/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Washington Wizards,11/1/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,New Orleans Pelicans,11/4/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Oklahoma City Thunder,11/6/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Orlando Magic,11/9/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Miami Heat,11/11/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Detroit Pistons,11/14/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,New York Knicks,11/15/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Philadelphia 76ers,11/17/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Indiana Pacers,11/21/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Brooklyn Nets,11/22/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Washington Wizards,11/25/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Boston Celtics,11/26/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Cleveland Cavaliers,11/28/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,San Antonio Spurs,11/30/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Milwaukee Bucks,12/2/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Brooklyn Nets,12/6/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Philadelphia 76ers,12/8/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Denver Nuggets,12/11/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Toronto Raptors,12/13/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Toronto Raptors,12/15/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Cleveland Cavaliers,12/16/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Detroit Pistons,12/18/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Houston Rockets,12/20/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Miami Heat,12/22/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Memphis Grizzlies,12/23/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Chicago Bulls,12/26/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Sacramento Kings,12/29/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Washington Wizards,12/31/23,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Oklahoma City Thunder,1/3/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Indiana Pacers,1/5/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Orlando Magic,1/7/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Philadelphia 76ers,1/10/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Indiana Pacers,1/12/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Washington Wizards,1/13/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,San Antonio Spurs,1/15/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Orlando Magic,1/17/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Miami Heat,1/19/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Cleveland Cavaliers,1/20/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Sacramento Kings,1/22/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Golden State Warriors,1/24/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Dallas Mavericks,1/26/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Toronto Raptors,1/28/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Los Angeles Lakers,1/30/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Phoenix Suns,2/2/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Golden State Warriors,2/3/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Los Angeles Clippers,2/5/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Boston Celtics,2/7/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Philadelphia 76ers,2/9/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Houston Rockets,2/10/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Chicago Bulls,2/12/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Charlotte Hornets,2/14/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Toronto Raptors,2/23/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Orlando Magic,2/25/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Utah Jazz,2/27/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Brooklyn Nets,2/29/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Brooklyn Nets,3/2/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,New York Knicks,3/5/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Cleveland Cavaliers,3/6/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Memphis Grizzlies,3/8/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,New Orleans Pelicans,3/10/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Portland Trail Blazers,3/13/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Utah Jazz,3/15/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Los Angeles Clippers,3/17/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Los Angeles Lakers,3/18/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Phoenix Suns,3/21/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Charlotte Hornets,3/23/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Boston Celtics,3/25/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Portland Trail Blazers,3/27/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Boston Celtics,3/28/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Milwaukee Bucks,3/30/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Chicago Bulls,4/1/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Detroit Pistons,4/3/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,1
Atlanta Hawks,Dallas Mavericks,4/4/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Denver Nuggets,4/6/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Miami Heat,4/9/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Charlotte Hornets,4/10/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Minnesota Timberwolves,4/12/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Indiana Pacers,4/14/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Atlanta Hawks,Chicago Bulls,4/17/24,117.2,119.4,-2.2,100.1,0.539,0.576,11.6,27.1,0.2,0.408,0
Brooklyn Nets,Cleveland Cavaliers,10/25/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,0
Brooklyn Nets,Dallas Mavericks,10/27/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,0
Brooklyn Nets,Charlotte Hornets,10/30/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,1
Brooklyn Nets,Miami Heat,11/1/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,1
Brooklyn Nets,Chicago Bulls,11/3/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,1
Brooklyn Nets,Boston Celtics,11/4/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,0
Brooklyn Nets,Milwaukee Bucks,11/6/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,0
Brooklyn Nets,Los Angeles Clippers,11/8/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,1
Brooklyn Nets,Boston Celtics,11/10/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,0
Brooklyn Nets,Washington Wizards,11/12/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,1
Brooklyn Nets,Orlando Magic,11/14/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,1
Brooklyn Nets,Miami Heat,11/16/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,0
Brooklyn Nets,Philadelphia 76ers,11/19/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,0
Brooklyn Nets,Atlanta Hawks,11/22/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,0
Brooklyn Nets,Miami Heat,11/25/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,1
Brooklyn Nets,Chicago Bulls,11/26/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,1
Brooklyn Nets,Toronto Raptors,11/28/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,1
Brooklyn Nets,Charlotte Hornets,11/30/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,0
Brooklyn Nets,Orlando Magic,12/2/23,113.2,116.1,-2.9,96.9,0.531,0.561,11.8,25.2,0.177,0.412,1
